PIESReferenceFieldCodeId|PIESFieldId|PIESCodeId|PIESExpiCodeId|ReferenceNotes
2090|65|667|29|
2091|65|666|29|
2092|64|666|30|
2093|89|666|31|
2094|90|666|32|
2095|91|666|33|
2096|91|665|33|
2097|90|665|32|
2098|89|665|31|
2099|64|665|30|
2100|65|665|29|
2101|91|663|33|
2102|90|663|32|
2103|89|663|31|
2104|64|663|30|
2105|65|663|29|
2106|91|664|33|
2107|90|664|32|
2108|89|664|31|
2109|64|664|30|
2110|65|664|29|
2111|64|662|30|
2112|89|662|31|
2113|90|662|32|
2114|65|662|29|
2115|91|662|33|
2116|91|770|33|
2117|90|770|32|
2118|89|770|31|
2119|64|770|30|
2120|65|770|29|
2121|91|660|33|
2122|90|660|32|
2123|89|660|31|
2124|64|660|30|
2125|65|660|29|
2126|91|661|33|
2127|90|661|32|
2128|89|661|31|
2129|64|661|30|
2130|65|661|29|
2131|91|656|33|
2132|90|656|32|
2133|89|656|31|
2134|64|656|30|
2135|65|656|29|
2136|91|657|33|
2137|90|657|32|
2138|89|657|31|
2139|64|657|30|
2140|65|657|29|
2141|91|658|33|
2142|90|658|32|
2143|89|658|31|
2144|64|658|30|
2145|65|658|29|
2146|91|659|33|
2147|90|659|32|
2148|89|659|31|
2149|31|659|30|
2150|65|659|29|
2151|91|652|33|
2152|90|652|32|
2153|89|652|31|
2154|64|652|30|
2155|65|652|29|
2156|91|653|33|
2157|90|653|32|
2158|89|653|31|
2159|64|653|30|
2160|65|653|29|
2161|91|655|33|
2162|90|655|32|
2163|89|655|31|
2164|64|655|30|
2165|65|655|29|
2166|91|646|33|
2167|90|646|32|
2168|89|646|31|
2169|64|646|30|
2170|65|646|29|
2171|91|647|33|
2172|90|647|32|
2173|89|647|31|
2174|64|647|30|
2175|65|647|29|
2176|91|648|33|
2177|90|648|32|
2178|89|648|31|
2179|64|648|30|
2180|65|648|29|
2181|91|649|33|
2182|90|649|32|
2183|89|649|31|
2184|64|649|30|
2185|65|649|29|
2186|91|650|33|
2187|90|650|32|
2188|89|650|31|
2189|64|650|30|
2190|65|650|29|
2191|91|651|33|
2192|90|651|32|
2193|89|651|31|
2194|64|651|30|
2195|65|651|29|
2196|91|642|33|
2197|90|642|32|
2198|89|642|31|
2199|64|642|30|
2200|65|642|29|
2201|91|643|33|
2202|90|643|32|
2203|89|643|31|
2204|64|643|30|
2205|65|643|29|
2206|91|644|33|
2207|90|644|32|
2208|89|644|31|
2209|64|644|30|
2210|65|644|29|
2211|91|645|33|
2212|90|645|32|
2213|89|645|31|
2214|64|645|30|
2215|65|645|29|
2216|91|638|33|
2217|90|638|32|
2218|89|638|31|
2219|64|638|30|
2220|65|638|29|
2221|91|639|33|
2222|90|639|32|
2223|89|639|31|
2224|64|639|30|
2225|65|639|29|
2226|91|640|33|
2227|90|640|32|
2228|89|640|31|
2229|64|640|30|
2230|65|640|29|
2231|91|641|33|
2232|90|641|32|
2233|89|641|31|
2234|64|641|30|
2235|65|641|29|
2236|91|634|33|
2237|90|634|32|
2238|89|634|31|
2239|64|634|30|
2240|65|634|29|
2241|91|635|33|
2242|90|635|32|
2243|89|635|31|
2244|64|635|30|
2245|65|635|29|
2246|91|636|33|
2247|90|636|32|
2248|89|636|31|
2249|64|636|30|
2250|65|636|29|
2251|91|637|33|
2252|90|637|32|
2253|89|637|31|
2254|64|637|30|
2255|65|637|29|
2256|91|630|33|
2257|90|630|32|
2258|89|630|31|
2259|64|630|30|
2260|65|630|29|
2261|91|631|33|
2262|90|631|32|
2263|89|631|31|
2264|64|631|30|
2265|65|631|29|
2266|91|632|33|
2267|90|632|32|
2268|89|632|31|
2269|64|632|30|
2270|65|632|29|
2271|91|633|33|
2272|90|633|32|
2273|89|633|31|
2274|64|633|30|
2275|65|633|29|
2276|91|626|33|
2277|90|626|32|
2278|89|626|31|
2279|64|626|30|
2280|65|626|29|
2281|91|627|33|
2282|90|627|32|
2283|89|627|31|
2284|64|627|30|
2285|65|627|29|
2286|91|628|33|
2287|90|628|32|
2288|89|628|31|
2289|64|628|30|
2290|65|628|29|
2291|91|629|33|
2292|90|629|32|
2293|89|629|31|
2294|64|629|30|
2295|65|629|29|
2296|91|620|33|
2297|90|620|32|
2298|89|620|31|
2299|64|620|30|
2300|65|620|29|
2301|91|621|33|
2302|90|621|32|
2303|89|621|31|
2304|64|621|30|
2305|65|621|29|
2306|91|622|33|
2307|90|622|32|
2308|89|622|31|
2309|64|622|30|
2310|65|622|29|
2311|91|623|33|
2312|90|623|32|
2313|89|623|31|
2314|64|623|30|
2315|65|623|29|
2316|91|624|33|
2317|90|624|32|
2318|89|624|31|
2319|64|624|30|
2320|65|624|29|
2321|91|625|33|
2322|90|625|32|
2323|89|625|31|
2324|64|625|30|
2325|65|625|29|
2326|91|617|33|
2327|90|617|32|
2328|89|617|31|
2329|64|617|30|
2330|65|617|29|
2331|91|618|33|
2332|90|618|32|
2333|89|618|31|
2334|64|618|30|
2335|65|618|29|
2336|91|619|33|
2337|90|619|32|
2338|89|619|31|
2339|64|619|30|
2340|65|619|29|
2341|91|613|33|
2342|90|613|32|
2343|89|613|31|
2344|64|613|30|
2345|65|613|29|
2346|91|614|33|
2347|90|614|32|
2348|89|614|31|
2349|64|614|30|
2350|65|614|29|
2351|91|615|33|
2352|90|615|32|
2353|89|615|31|
2354|64|615|30|
2355|65|615|29|
2356|91|616|33|
2357|90|616|32|
2358|89|616|31|
2359|64|616|30|
2360|65|616|29|
2361|91|608|33|
2362|90|608|32|
2363|89|608|31|
2364|64|608|30|
2365|65|608|29|
2366|91|609|33|
2367|90|609|32|
2368|89|609|31|
2369|64|609|30|
2370|65|609|29|
2371|91|610|33|
2372|90|610|32|
2373|89|610|31|
2374|64|610|30|
2375|65|610|29|
2376|91|611|33|
2377|90|611|32|
2378|89|611|31|
2379|64|611|30|
2380|65|611|29|
2381|91|612|33|
2382|90|612|32|
2383|89|612|31|
2384|64|612|30|
2385|65|612|29|
2386|91|604|33|
