"BrandID"|"BrandName"|"BrandOEMFlag"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCW"|"Clear Advantage"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCX"|"InSight"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNDB"|"MicroEdge"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNDC"|"AeroTwin"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNDD"|"Twin"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNDF"|"Rear"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNDG"|"Marathon"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNDH"|"Perfect View"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNDJ"|"Steel Tech"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GRCG"|"Blue"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GRCH"|"EuroLine"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"HCHJ"|"Envision"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"HCHK"|"Snow Driver"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"HMQW"|"Severe Duty"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"HRXM"|"Focus"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"HRXN"|"Winter"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"HRXP"|"Spectrum DirectFit"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"HRXQ"|"PUREVision"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"JHGS"|"Performance"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"KHJX"|"Premium"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"KHJY"|"Workshop"|"Nov 05, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"KHJZ"|"360"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"KHKG"|"PrimeActive"|"Mar 26, 2024"
"BBHL"|"Boyds"|"False"|"BDLW"|"American Republic Wheels"|""|""|"Aug 01, 2018"
"BBHM"|"Breeze Inc"|"False"|"BDLZ"|"Breeze Corporation Inc"|""|""|"Oct 25, 2023"
"BBHN"|"Brembo"|"False"|"BDMB"|"Brembo"|""|""|"Oct 09, 2024"
"BBHP"|"Brian Walter"|"False"|"BDMC"|"Brian Walter Inc"|""|""|"Jul 12, 2007"
"BBHQ"|"Bridge"|"False"|"BDMD"|"Docap"|""|""|"Feb 26, 2021"
"BBHR"|"Bryco"|"False"|"BDMK"|"Bryco By Carfel"|""|""|"Feb 25, 2021"
"BBHS"|"Spray 9"|"False"|"BDMP"|"Burgess Chemical"|""|""|"Jul 12, 2007"
"BBHT"|"Buyers Products"|"False"|"BDMR"|"Buyers Products Company"|""|""|"Jul 27, 2022"
"BBHV"|"CTA"|"False"|"BDMV"|"CTA Manufacturing Corporation"|""|""|"Nov 29, 2021"
"BBHW"|"CV Plus"|"False"|"HLWK"|"Heri Automotive Inc"|""|""|"May 25, 2021"
"BBHX"|"Prestone Belts and Hose"|"False"|"HSZX"|"Cadna Rubber Company"|""|""|"Feb 25, 2021"
"BBHZ"|"CAE"|"False"|"BDMZ"|"CAE Remanufacturing"|""|""|"May 25, 2021"
"BBJB"|"Calterm"|"False"|"BDNH"|"Calterm Inc"|""|""|"May 25, 2021"
"BBJC"|"Cama"|"False"|"BDNK"|"Cama Automotive Products CAP"|""|""|"Dec 19, 2024"
"BBJD"|"Cambro"|"False"|"BDNL"|"Cambro Products Inc"|""|""|"Jul 12, 2007"
"BBJF"|"Camco"|"False"|"BDNM"|"Camco Manufacturing Inc"|""|""|"May 25, 2021"
"BBJG"|"Camel - Archived"|"False"|"HYYW"|"Archived Brands"|""|""|"Apr 05, 2021"
"BBJH"|"Campbell"|"False"|"GNGC"|"Apex Tool Group LLC"|""|""|"Feb 19, 2024"
"BBJJ"|"Canadian Tire"|"False"|"HKHD"|"Canadian Tire Corporation Limited"|""|""|"Feb 21, 2024"
"BBJK"|"Canadian Trade"|"False"|"BDNT"|"Canadian Trade Corporation"|""|""|"Jul 12, 2007"
"BBJL"|"Canfield"|"False"|"BDNW"|"Canfield Auto Electric"|""|""|"Jul 12, 2007"
"BBJN"|"Car Care"|"False"|"BDPB"|"Car Care Parts Corporation"|""|""|"Jul 12, 2007"
"BBJP"|"Carlisle"|"False"|"BDPF"|"Carlisle Tires"|""|""|"Jul 12, 2007"
"BBJQ"|"Carol"|"False"|"BDPG"|"Carol Ignition Wires"|""|""|"Jul 12, 2007"
"BBJR"|"ALC Sandy Jet"|"False"|"BKNR"|"Advance Auto Parts"|""|""|"May 04, 2021"
"BBJS"|"Bel-Aire"|"False"|"BKNR"|"Advance Auto Parts"|""|""|"May 04, 2021"
"BBJT"|"Carquest Premium Filters"|"False"|"BKNR"|"Advance Auto Parts"|""|""|"May 27, 2022"
"BBJV"|"Carquest Premium Ignition"|"False"|"BKNR"|"Advance Auto Parts"|""|""|"Oct 26, 2021"
"BBJW"|"Carquest Standard Filters"|"False"|"BKNR"|"Advance Auto Parts"|""|""|"May 18, 2022"
"BBJX"|"Catco"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJF"|"Pre-OBD-II Standard Duty"|"Aug 01, 2025"
"BBJX"|"Catco"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJG"|"Pre-OBD-II Medium Duty"|"Aug 01, 2025"
"BBJX"|"Catco"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJH"|"Pre-OBD-II Heavy Duty"|"Aug 01, 2025"
"BBJX"|"Catco"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJJ"|"Pre-OBD-II"|"Aug 01, 2025"
"BBJX"|"Catco"|"False"|"BDGS"|"AP Emissions Technologies"|"LFJK"|"OBD-II Super Select Plus"|"Aug 01, 2025"
